"ID","Station Name","Total Docks","Docks in Service","Status","Latitude","Longitude"
"2101023507744358680","Waveland/Wilton Corral","120","120","In Service","41.9489031","-87.653141"
"a3b2810e-a135-11e9-9cda-0a87ae2ba916","Stony Island Ave & South Chicago Ave","11","11","In Service","41.751173","-87.585337"
"a3a5f5e6-a135-11e9-9cda-0a87ae2ba916","Halsted St & 21st St","11","11","In Service","41.8537798107","-87.6466029882"
"a3a83181-a135-11e9-9cda-0a87ae2ba916","Damen Ave & Melrose Ave","15","15","In Service","41.9406","-87.6785"
"a3aa7db3-a135-11e9-9cda-0a87ae2ba916","Damen Ave & Sunnyside Ave","19","19","In Service","41.96325","-87.679258"
"2102842761542543614","Wells St & Washington St","11","11","In Service","41.883","-87.63396"
"2075366191969569494","Pine Grove Ave & Irving Park Rd","16","16","In Service","41.9543646","-87.6479285"
"a3a3888b-a135-11e9-9cda-0a87ae2ba916","Field Blvd & South Water St","19","19","In Service","41.8863490627","-87.6175165471"
"a3a58495-a135-11e9-9cda-0a87ae2ba916","Sheffield Ave & Waveland Ave","27","27","In Service","41.949399","-87.654529"
"a3a4daa1-a135-11e9-9cda-0a87ae2ba916","Clinton St & Madison St","27","27","In Service","41.8827519657","-87.6411902905"
"a3a5428e-a135-11e9-9cda-0a87ae2ba916","Orleans St & Merchandise Mart Plaza","35","35","In Service","41.888243","-87.63639"
"a3b01f9c-a135-11e9-9cda-0a87ae2ba916","Winchester Ave & Elston Ave","15","15","In Service","41.9240908504","-87.6764600747"
"1936582699682930930","Mayfield Ave & Roosevelt Rd","15","15","In Service","41.86569","-87.77176"
"2108022405953321550","Francisco Ave & Chicago Ave","15","15","In Service","41.895745","-87.698653"
"94788869-1849-43f6-99e1-2eacbc3fab03","Morgan St & Lake St*","20","20","In Service","41.8854917063","-87.6522892714"
"a3a565b1-a135-11e9-9cda-0a87ae2ba916","Halsted St & Polk St","19","19","In Service","41.87184","-87.64664"
"a3a734ce-a135-11e9-9cda-0a87ae2ba916","Clark St & Elm St","39","39","In Service","41.90297","-87.6313"
"2108374001471259348","Rockwell St & Fletcher St","11","11","In Service","41.93885","-87.69299"
"a3a6e866-a135-11e9-9cda-0a87ae2ba916","Rush St & Superior St","23","23","In Service","41.8957647456","-87.6259080327"
"1879442377117973296","Dan Ryan Woods & 83rd St","11","11","In Service","41.742805","-87.680177"
"a3b0fae6-a135-11e9-9cda-0a87ae2ba916","Glenwood Ave & Touhy Ave","15","15","In Service","42.012701","-87.666058"
"d53ae727-5265-4b8e-a6ca-2a36dc0345c4","Wilton Ave & Diversey Pkwy*","32","32","In Service","41.932418","-87.652705"
"a3a5700b-a135-11e9-9cda-0a87ae2ba916","Dearborn St & Erie St","27","27","In Service","41.893992","-87.629318"
"1970688521031469268","Martin Luther King Dr & 87th St","15","15","In Service","41.73677","-87.61439"
"a3b29fae-a135-11e9-9cda-0a87ae2ba916","Stony Island Ave & 82nd St","11","11","In Service","41.746559","-87.586005"
"a3acc133-a135-11e9-9cda-0a87ae2ba916","Paulina St & Flournoy St","31","31","In Service","41.8730610879","-87.6691348851"
"a3a95b7a-a135-11e9-9cda-0a87ae2ba916","California Ave & Francis Pl","15","15","In Service","41.9184911537","-87.6974228024"
